epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,166.711,0.58211,0.95238,1,0.2251,0.00044299,0.00044299,0.00044299
2,281.35,0.14796,1,1,0.02036,0.000882445,0.000882445,0.000882445
3,395.805,0.1244,1,1,0.00992,0.00130379,0.00130379,0.00130379
4,512.456,0.12365,0.96825,1,0.05642,0.00134412,0.00134412,0.00134412
5,640.505,0.08284,1,1,0.02297,0.00131582,0.00131582,0.00131582
6,765.156,0.07272,1,1,0.00421,0.00128753,0.00128753,0.00128753
7,882.134,0.07262,1,1,0.01104,0.00125923,0.00125923,0.00125923
8,997.343,0.06476,1,1,0.0069,0.00123094,0.00123094,0.00123094
9,1117.28,0.07962,1,1,0.01075,0.00120265,0.00120265,0.00120265
10,1234.26,0.08686,1,1,0.00158,0.00117435,0.00117435,0.00117435
11,1350.99,0.09393,1,1,0.00519,0.00114606,0.00114606,0.00114606
12,1465.89,0.07211,0.98413,1,0.02995,0.00111776,0.00111776,0.00111776
13,1592.24,0.05399,1,1,0.00084,0.00108947,0.00108947,0.00108947
14,1708.22,0.04216,1,1,0.00027,0.00106118,0.00106118,0.00106118
15,1824.64,0.03897,0.98413,1,0.02334,0.00103288,0.00103288,0.00103288
16,1942.63,0.08091,1,1,0.00978,0.00100459,0.00100459,0.00100459
17,2069.79,0.04764,1,1,0.00365,0.000976293,0.000976293,0.000976293
18,2210.29,0.06829,1,1,0.01794,0.000947999,0.000947999,0.000947999
19,2336.5,0.03923,1,1,0.00244,0.000919704,0.000919704,0.000919704
20,2462.2,0.0435,1,1,0.00182,0.00089141,0.00089141,0.00089141
21,2594.83,0.03689,1,1,0.00134,0.000863116,0.000863116,0.000863116
22,2724.83,0.05528,1,1,0.00084,0.000834822,0.000834822,0.000834822
23,2848.81,0.04772,1,1,0.00299,0.000806528,0.000806528,0.000806528
24,2970.33,0.04073,1,1,0.00203,0.000778233,0.000778233,0.000778233
25,3095.44,0.02593,1,1,0.00194,0.000749939,0.000749939,0.000749939
26,3205.65,0.01962,1,1,0.00109,0.000721645,0.000721645,0.000721645
27,3323.06,0.02646,1,1,9e-05,0.000693351,0.000693351,0.000693351
28,3435.27,0.02361,1,1,0.00018,0.000665057,0.000665057,0.000665057
29,3560.61,0.01283,1,1,0.00072,0.000636762,0.000636762,0.000636762
30,3688.45,0.03354,1,1,0.00034,0.000608468,0.000608468,0.000608468
31,3813.5,0.02537,1,1,0.00048,0.000580174,0.000580174,0.000580174
32,3935.05,0.01784,1,1,0.00017,0.00055188,0.00055188,0.00055188
33,4062.57,0.01395,1,1,9e-05,0.000523586,0.000523586,0.000523586
34,4184.81,0.02065,1,1,8e-05,0.000495291,0.000495291,0.000495291
35,4303.85,0.02171,1,1,8e-05,0.000466997,0.000466997,0.000466997
36,4420.08,0.03451,1,1,7e-05,0.000438703,0.000438703,0.000438703
37,4532.4,0.01776,1,1,5e-05,0.000410409,0.000410409,0.000410409
38,4646.8,0.02482,1,1,3e-05,0.000382115,0.000382115,0.000382115
39,4762.03,0.03978,1,1,3e-05,0.00035382,0.00035382,0.00035382
40,4877.6,0.02189,1,1,7e-05,0.000325526,0.000325526,0.000325526
41,5001.75,0.0169,1,1,5e-05,0.000297232,0.000297232,0.000297232
42,5121.74,0.03122,1,1,0.0001,0.000268938,0.000268938,0.000268938
43,5244.2,0.02733,1,1,0.00028,0.000240644,0.000240644,0.000240644
44,5364.24,0.02685,1,1,0.00019,0.000212349,0.000212349,0.000212349
45,5484.92,0.01315,1,1,5e-05,0.000184055,0.000184055,0.000184055
46,5607.87,0.02371,1,1,4e-05,0.000155761,0.000155761,0.000155761
47,5729.45,0.01347,1,1,7e-05,0.000127467,0.000127467,0.000127467
48,5845.26,0.01103,1,1,5e-05,9.91726e-05,9.91726e-05,9.91726e-05
49,5959.11,0.00996,1,1,5e-05,7.08784e-05,7.08784e-05,7.08784e-05
50,6073.83,0.01324,1,1,4e-05,4.25842e-05,4.25842e-05,4.25842e-05
